| رقم | الفكرة / المشكلة                           | التفاصيل                                                                         | الحالة     |
| --- | ------------------------------------------ | -------------------------------------------------------------------------------- | ---------- |
| 1   | تنسيق الأزرار                              | زر "إرسال الطلب" وزر "عرض التفاصيل" يظهر بشكل غير منسق على الموبايل              | ✅ مطلوب    |
| 2   | زر الحذف في صفحة الطلب                     | بيتوقف أحيانًا بسبب مشاكل في DOM – محتاج تأكد من وجود العنصر قبل `querySelector` | ✅ مطلوب    |
| 3   | رسالة تأكيد الطلب (Popup / Modal)          | استبدال الانتقال لصفحة بفورم تأكيد أنيق – مثل موديل من CodePen                   | ✅ مطلوب    |
| 4   | إضافة Pagination                           | عرض عدد ثابت من المنتجات في الصفحة مع زري (التالي / السابق)                      | ✅ مطلوب    |
| 5   | تأكيد البيانات قبل الطلب                   | نموذج بصري يأكد إدخال البيانات بشكل واضح وجذاب قبل الضغط على "إرسال"             | ✅ مطلوب    |
| 6   | تحسين الاستجابة للموبايل                   | ترتيب العناصر، إظهار النصوص المختفية، التنسيق مع `@media queries`                | ✅ مطلوب    |
| 7   | تنبيه عند إرسال طلب وسلة فارغة             | رسالة واضحة للمستخدم في حالة السلة فارغة                                         | ✅ مطلوب    |
| 8   | تحسين كود JavaScript                       | استخدام event delegation، تنظيم الكود وتقليل التكرار                             | 🔧 تطوير   |
| 9   | تسجيل الطلبات تلقائيًا (Firebase / Sheets) | بديل عن Formsubmit – حفظ الطلبات في قاعدة بيانات أو Google Sheets                | 💡 لاحقًا  |
| 10  | لوحة تحكم للمشرف (Admin Panel)             | لعرض وتعديل الطلبات والمنتجات من جهة الإدارة – حتى لو محليًا فقط                 | 💡 لاحقًا  |
| 11  | تحسين تجربة المستخدم بالحركات (Animation)  | تأثيرات عند التمرير، التنقل، الضغط – لإضافة طابع احترافي على الموقع              | 💡 لاحقًا  |
| 12  | تقييمات / مراجعات للمنتجات (Reviews)       | يضيف مصداقية للتسويق – يفضل بعد مرحلة استقرار الموقع                             | 💡 اختياري |
